"ID","Marker","BioSample.Accession","Mitogenome.accession","Mitochondrial.clade","Sex.qPCR","Age","Region","Location","Lat","Lon","Year","Month","Day","Membership.rad.all","Membership.wgs.all","Q1.rad.all","Q2.rad.all","Q3.rad.all","Q4.rad.all","Q5.rad.all","Q1.wgs.all","Q2.wgs.all","Q3.wgs.all","Q4.wgs.all","Q5.wgs.all","Q6.wgs.all","Q1.rad.hbsc","Q2.rad.hbsc","Q3.rad.hbsc","Q1.wgs.hbsc","Q2.wgs.hbsc","Q1.rad.jam","Q2.rad.jam","Q1.wgs.jam","Q2.wgs.jam","O.Hom.rad","E.Hom.rad","F.rad","O.Hom.wgs","E.Hom.wgs","F.wgs"
"S_20_03540","lcWGS","SAMN36656896","OQ554238","Clade C","F",22,"SLE","Grosse_Roche",48.940756,-67.171455,2019,7,16,NA,"SLE",NA,NA,NA,NA,NA,0.200534,0.799426,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,645593,624459.7,0.11439
"S_20_03659","lcWGS","SAMN36656943","OQ554245","Clade A","F",48,"SLE","Riviere_du_Loup",47.865,-69.61667,2019,8,1,NA,"SLE",NA,NA,NA,NA,NA,0.00001,0.999944,0.00001,0.00001,0.00001,0.000016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,661003,625280.9,0.19312
"S_20_03664","Both","SAMN36656944","OQ554246","Clade A","M",0,"SLE","Matane",48.818,-67.6044,2009,9,3,"SLE","SLE",0.99996,0.00001,0.00001,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,21118,19544.5,0.24367,664963,640056.9,0.13177
"S_20_03665_rep","ddRADseq","SAMN36656945",NA,NA,"F",14,"SLE","Les_Boules",48.69027778,-67.97111111,2011,8,9,"SLE",NA,0.99996,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20571,18951.6,0.26143,NA,NA,NA
"S_20_00660","ddRADseq","SAMN36656167",NA,NA,"M",24,"CS","Pangnirtung",NA,NA,2005,8,3,"HBSC",NA,0.070417,0.456511,0.39663,0.04089,0.035552,NA,NA,NA,NA,NA,NA,0.705615,0.085022,0.209363,NA,NA,NA,NA,NA,NA,18742,17600.5,0.20045,NA,NA,NA
"S_20_00661","Both","SAMN36656168","MW316168    ",NA,"F",17,"CS","Pangnirtung_Imigen",NA,NA,2002,7,6,"CS","CS",0.01227,0.00001,0.9877,0.00001,0.00001,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,19259,18313,0.15669,641460,640564.1,0.00474
"S_20_00662","Both","SAMN36656169","OQ553966","Clade D","F",NA,"CS","Pangnirtung",NA,NA,2002,7,25,"CS","CS",0.008887,0.120866,0.786437,0.014639,0.069171,0.106333,0.009898,0.012771,0.744431,0.06817,0.058397,NA,NA,NA,NA,NA,NA,NA,NA,NA,19410,19461.3,-0.00799,630187,625401.4,0.02585
"S_20_00663","lcWGS","SAMN36656170","OQ553967","Clade D","M",27,"CS","Pangnirtung_Bon_Accord",NA,NA,2002,7,22,NA,"CS",NA,NA,NA,NA,NA,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,634402,622161.7,0.06639
"S_20_00664","Both","SAMN36656171","OQ553968","Clade D","M",31,"CS","Pangnirtung_Bon_Accord",65.216271,-65.750172,2005,8,4,"HBSC","HBSC",0.036195,0.581208,0.238662,0.081918,0.062017,0.594691,0.034996,0.02747,0.083352,0.24635,0.013142,0.683634,0.12213,0.194237,0.591347,0.408653,NA,NA,NA,NA,19102,18549.4,0.09027,618716,599919.9,0.10571
"S_20_00665","ddRADseq","SAMN36656172",NA,NA,"M",14,"CS","Pangnirtung_Imilit",NA,NA,2006,6,30,"HBSC",NA,0.049261,0.571204,0.296406,0.014894,0.068235,NA,NA,NA,NA,NA,NA,0.870789,0.050546,0.078666,NA,NA,NA,NA,NA,NA,19307,19069.7,0.03794,NA,NA,NA
"S_20_00666","ddRADseq","SAMN36656173",NA,NA,"M",16,"CS","Pangnirtung_Emelet",NA,NA,2006,7,1,"CS",NA,0.00001,0.054812,0.79972,0.024446,0.121012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19426,19492.4,-0.01032,NA,NA,NA
"S_20_00667","ddRADseq","SAMN36656174",NA,NA,"F",18,"CS","Pangnirtung_Nuvuatiakalak",NA,NA,2002,7,21,"CS",NA,0.025518,0.126782,0.774566,0.005571,0.067564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19661,19532.5,0.01991,NA,NA,NA
"S_20_00668","ddRADseq","SAMN36656175",NA,NA,"M",17,"CS","Pangnirtung",NA,NA,2005,8,3,"CS",NA,0.00001,0.00001,0.999958,0.000012,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16691,15397.9,0.26667,NA,NA,NA
"S_20_00670","ddRADseq","SAMN36656176",NA,NA,"M",19,"CS","Pangnirtung",NA,NA,2002,7,10,"CS",NA,0.00001,0.00001,0.99996,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19516,19275.5,0.03792,NA,NA,NA
"S_20_00690","ddRADseq","SAMN36656186",NA,NA,"M",6,"CS","Pangnirtung",NA,NA,2005,7,9,"HBSC",NA,0.076312,0.44186,0.409648,0.031953,0.040227,NA,NA,NA,NA,NA,NA,0.708369,0.056943,0.234688,NA,NA,NA,NA,NA,NA,18353,17112.8,0.22573,NA,NA,NA
"S_20_00691","lcWGS","SAMN36656187","MW316165    ",NA,"F",19,"CS","Pangnirtung_Imilit",NA,NA,2002,7,22,NA,"CS",NA,NA,NA,NA,NA,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,636265,634782.8,0.00789
"S_20_00692","ddRADseq","SAMN36656188",NA,NA,"M",22,"CS","Pangnirtung_Tarriunittuq_Bay",NA,NA,2005,8,3,"HBSC",NA,0.026574,0.546763,0.315407,0.019567,0.091689,NA,NA,NA,NA,NA,NA,0.708441,0.104971,0.186589,NA,NA,NA,NA,NA,NA,19324,18585.9,0.12222,NA,NA,NA
