"ID_GQ","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","K","ID_rcpt","Region1","Location","Year","Month","Day","Community","Haplo"
"S_20_00719",0.806116,0.193884,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_2004_6","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL037"
"S_20_00720",0.810864,0.189136,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_03_1017","BEL","Sanikiluaq",2003,9,29,"Sanikiluaq","HL022"
"S_20_00721",0.666508,0.333492,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_04_1072","BEL","Sanikiluaq",2004,6,18,"Sanikiluaq","HL001"
"S_20_00722",0.757498,0.242502,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_04_1032","BEL","Sanikiluaq",2004,12,17,"Sanikiluaq",NA
"S_20_00724",0.820168,0.179832,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_2004_15","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL034"
"S_20_00725",0.794507,0.205493,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_2004_5","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL001"
"S_20_00726",0.830422,0.169578,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_03_1014","BEL","Sanikiluaq",2003,9,29,"Sanikiluaq","HL001"
"S_20_00729",0.8172,0.1828,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_2004_4","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL001"
"S_20_00730",0.72069,0.27931,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_02_1035","BEL","Sanikiluaq",2002,5,NA,"Sanikiluaq","HL038"
"S_20_00732",0.669844,0.330156,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_04_1067","BEL","Sanikiluaq",2004,7,NA,"Sanikiluaq","HL001"
"S_20_00733",0.745127,0.254873,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_04_1030","BEL","Sanikiluaq",2004,12,17,"Sanikiluaq","HL033"
"S_20_00734",0.707854,0.292146,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_03_1005","BEL","Sanikiluaq",2003,6,28,"Sanikiluaq","HL001"
"S_20_00735",0.807159,0.192841,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_2004_18","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL033"
"S_20_00738",0.820029,0.179971,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_04_1066","BEL","Sanikiluaq",2004,6,17,"Sanikiluaq","HL001"
"S_20_00740",0.794759,0.205241,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_2004_17","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL033"
"S_20_00741",0.751812,0.248188,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_02_1004","BEL","Sanikiluaq",2002,5,17,"Sanikiluaq","HL032"
"S_20_00742",0.814188,0.185812,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_04_A","BEL","Sanikiluaq",2004,NA,NA,"Sanikiluaq",NA
