"ID_GQ","ID_rcpt","Region1","Location","Year","Month","Day","Community","Haplo","K","Q1","Q2","Q3","Q4","Q5","Membership.neutral"
"S_20_00664","ARPG_05_1232","CSB","Pangnirtung_Bon_Accord",2005,8,4,"Pangnirtung","HL003",5,0.082002,0.56103,0.208855,0.090878,0.057235,"HBSC"
"S_20_00665","ARPG_06_1281","CSB","Pangnirtung_Imilit",2006,6,30,"Pangnirtung","HL003",5,0.070994,0.556718,0.297025,0.015015,0.060248,"HBSC"
"S_20_00666","ARPG_06_1280","CSB","Pangnirtung_Emelet",2006,7,1,"Pangnirtung","HL023",5,1e-05,1e-05,0.912832,2.8e-05,0.08712,"CSB"
"S_20_00667","ARPG_02_1040","CSB","Pangnirtung_Nuvuatiakalak",2002,7,21,"Pangnirtung","HL022",5,0.017113,0.136076,0.804038,1e-05,0.042763,"CSB"
"S_20_00668","ARPG_05_1255","CSB","Pangnirtung",2005,8,3,"Pangnirtung","HL024",5,0.069806,1e-05,0.930164,1e-05,1e-05,"CSB"
"S_20_00670","ARPG_02_1039","CSB","Pangnirtung",2002,7,10,"Pangnirtung","HL022",5,1e-05,1e-05,0.99996,1e-05,1e-05,"CSB"
"S_20_00676","PTT_7279","NWH","Churchill",1992,7,5,"Churchill","HL001",5,0.094484,0.393774,0.288787,0.166167,0.056788,"HBSC"
"S_20_00678","PTT_7278","NWH","Churchill",1992,7,4,"Churchill","HL026",5,0.106602,0.284061,0.288225,0.250355,0.070757,"HBSC"
"S_20_00681","ARAR_99_1037","NWH","Arviat_McConnel River",1999,8,11,"Arviat","HL004",5,0.014765,0.539774,0.316497,0.128955,1e-05,"HBSC"
"S_20_00683","ARAR_99_1024","NWH","Arviat_Sentry Island",1999,8,11,"Arviat","HL015",5,0.062966,0.591011,0.26453,0.022901,0.058593,"HBSC"
"S_20_00684","ARHU97_019","NWH","Chesterfield_Inlet_Baker Foreland",1997,8,17,"Chesterfield Inlet","HL003",5,0.018057,0.648989,0.199309,0.089607,0.044038,"HBSC"
"S_20_00685","ARCI_99_1023","NWH","Chesterfield_Inlet_Josephine_River",1999,8,22,"Chesterfield Inlet","HL004",5,0.10159,0.457655,0.336472,0.077467,0.026816,"HBSC"
"S_20_00686","ARCI_99_1024","NWH","Chesterfield_Inlet_Josephine_River",1999,8,22,"Chesterfield Inlet","HL004",5,0.046764,0.551129,0.309612,0.058166,0.034329,"HBSC"
"S_20_00687","ARAR_99_1038","NWH","Arviat_McConnel River",1999,8,11,"Arviat","HL003",5,0.067191,0.612923,0.241426,0.032864,0.045596,"HBSC"
"S_20_00690","ARPG_05_1241","CSB","Pangnirtung",2005,7,9,"Pangnirtung","HL003",5,0.176056,0.434166,0.309615,0.049166,0.030997,"HBSC"
"S_20_00692","ARPG_05_1225","CSB","Pangnirtung_Tarriunittuq_Bay",2005,8,3,"Pangnirtung","HL003",5,0.080632,0.549735,0.245248,0.024407,0.099978,"HBSC"
"S_20_00695","PGDL_02_03","CSB","Pangnirtung_West_Cumberland_Sound",2002,7,NA,"Pangnirtung","HL024",5,1e-05,1e-05,0.99996,1e-05,1e-05,"CSB"
"S_20_00697","ARPG_07_1314","CSB","Pangnirtung",2007,7,4,"Pangnirtung","HL028",5,1e-05,1e-05,0.99996,1e-05,1e-05,"CSB"
"S_20_00699","JBDL_07_06","JAM","Pointe_de_Repentigny",2007,8,25,"DFO_MPO","HL008",5,1e-05,1e-05,1e-05,0.99996,1e-05,"JAM"
"S_20_00701","ARPG_05_1211","CSB","Pangnirtung",2005,7,12,"Pangnirtung","HL029",5,0.055286,0.610452,0.212921,0.037223,0.084118,"HBSC"
"S_20_00702","ARPG_02_1034","CSB","Pangnirtung",2002,7,22,"Pangnirtung","HL030",5,0.10601,1e-05,0.89396,1e-05,1e-05,"CSB"
"S_20_00703","ARPG_06_1265","CSB","Pangnirtung",2006,7,1,"Pangnirtung","HL003",5,1e-05,1e-05,0.99996,1e-05,1e-05,"CSB"
"S_20_00709","PGDL_02_02","CSB","Pangnirtung_West_Cumberland_Sound",2002,7,NA,"Pangnirtung","HL024",5,1e-05,1e-05,0.99996,1e-05,1e-05,"CSB"
"S_20_00710","DL2008_JB_06","JAM","Pointe_de_Repentigny_James_Bay",2008,8,10,"DFO_MPO","HL008",5,1e-05,1e-05,1e-05,0.99996,1e-05,"JAM"
