Sample_ID,ID_GQ,Q1,Q2,Q3,K
S_20_01282,38.NWH.2005.BELUGA.ADN_20_04738.S_20_01282.dl.n_s.bam,0.38257,0.262649,0.354781,3
S_20_01288,48.NWH.1999.BELUGA.ADN_20_04732.S_20_01288.dl.n_s.bam,0.406416,0.416424,0.17716,3
S_20_01290,51.NWH.1999.BELUGA.ADN_20_04730.S_20_01290.dl.n_s.bam,0.99998,1.00E-05,1.00E-05,3
S_20_01294,35.NWH.2005.BELUGA.ADN_20_04726.S_20_01294.dl.n_s.bam,0.29851,0.261517,0.439974,3
S_20_01296,36.NWH.2005.BELUGA.ADN_20_04724.S_20_01296.dl.n_s.bam,0.395516,0.118513,0.485971,3
S_20_01298,19.NWH.1999.BELUGA.ADN_20_04722.S_20_01298.dl.n_s.bam,0.436898,0.402083,0.16102,3
S_20_01308,37.NWH.2005.BELUGA.ADN_20_04712.S_20_01308.dl.n_s.bam,0.410127,0.20388,0.385994,3
S_20_01310,34.NWH.1999.BELUGA.ADN_20_04710.S_20_01310.dl.n_s.bam,0.419504,0.361304,0.219192,3
S_20_01317,54.NWH.1997.BELUGA.ADN_20_05019.S_20_01317.dl.n_s.bam,0.415611,0.235112,0.349277,3
S_20_01322,53.NWH.1997.BELUGA.ADN_20_04692.S_20_01322.dl.n_s.bam,0.480506,0.264501,0.254992,3
S_20_01363,15.NWH.2014.BELUGA.ADN_20_04776.S_20_01363.dl.n_s.bam,0.585793,0.414197,1.00E-05,3
S_20_01366,30.NWH.2014.BELUGA.ADN_20_04780.S_20_01366.dl.n_s.bam,0.398583,0.240733,0.360684,3
S_20_01374,25.NWH.2008.BELUGA.ADN_20_04772.S_20_01374.dl.n_s.bam,0.340601,0.358064,0.301335,3
S_20_01375,20.NWH.1999.BELUGA.ADN_20_04755.S_20_01375.dl.n_s.bam,0.434282,0.151382,0.414336,3
S_20_01419,49.NWH.2011.BELUGA.ADN_20_04829.S_20_01419.dl.n_s.bam,0.442027,0.262869,0.295104,3
S_20_01514,28.NWH.2012.BELUGA.ADN_20_04986.S_20_01514.dl.n_s.bam,0.510714,0.288328,0.200958,3
S_20_01516,29.NWH.2012.BELUGA.ADN_20_04988.S_20_01516.dl.n_s.bam,0.38707,0.400045,0.212884,3
S_20_01551,33.NWH.2010.BELUGA.ADN_20_05933.S_20_01551.dl.n_s.bam,0.364199,0.280095,0.355707,3
S_20_01553,56.NWH.2011.BELUGA.ADN_20_05929.S_20_01553.dl.n_s.bam,0.348926,0.132929,0.518145,3
S_20_01555,50.NWH.2014.BELUGA.ADN_20_05927.S_20_01555.dl.n_s.bam,0.397645,0.37128,0.231076,3
S_20_01562,39.NWH.2009.BELUGA.ADN_20_05923.S_20_01562.dl.n_s.bam,0.427181,0.319298,0.253521,3
S_20_01590,40.NWH.2010.BELUGA.ADN_20_05886.S_20_01590.dl.n_s.bam,0.451036,0.077748,0.471216,3
S_20_01594,32.NWH.2009.BELUGA.ADN_20_05871.S_20_01594.dl.n_s.bam,0.414608,0.109217,0.476175,3
S_20_03515,46.NWH.2015.BELUGA.ADN_20_01172.S_20_03515.dl.n_s.bam,0.507108,0.116241,0.376651,3
S_20_03517,47.NWH.2015.BELUGA.ADN_20_01174.S_20_03517.dl.n_s.bam,0.448571,0.091694,0.459735,3
S_20_04103,13.REB.1995.BELUGA.ADN_20_05504.S_20_04103.dl.n_s.bam,0.392809,0.250757,0.356434,3
S_20_04123,11.REB.2006.BELUGA.ADN_20_05524.S_20_04123.dl.n_s.bam,0.399334,0.397302,0.203364,3
S_20_01441,140.SAN.2009.BELUGA.ADN_20_04939.S_20_01441.dl.n_s.bam,0.333749,1.00E-05,0.666241,3
S_20_01465,130.SAN.1995.BELUGA.ADN_20_04912.S_20_01465.dl.n_s.bam,0.346122,0.06622,0.587658,3
S_20_03642,172.SAN.2018.BELUGA.ADN_20_05389.S_20_03642.dl.n_s.bam,0.323086,0.067886,0.609028,3
S_20_03846,109.SAN.1994.BELUGA.ADN_20_06011.S_20_03846.dl.n_s.bam,0.307523,0.111655,0.580822,3
S_20_03849,185.SAN.1994.BELUGA.ADN_20_05255.S_20_03849.dl.n_s.bam,0.316208,1.00E-05,0.683782,3
S_20_04029,165.SAN.2016.BELUGA.ADN_20_05430.S_20_04029.dl.n_s.bam,1.00E-05,1.00E-05,0.99998,3
S_20_04091,175.SAN.2020.BELUGA.ADN_20_05492.S_20_04091.dl.n_s.bam,0.315634,0.036654,0.647712,3
S_20_01765,102.SEH.1994.BELUGA.ADN_20_01678.S_20_01765.dl.n_s.bam,0.344978,0.325682,0.329341,3
S_20_01784,100.SEH.1994.BELUGA.ADN_20_01677.S_20_01784.dl.n_s.bam,0.287983,0.36073,0.351287,3
S_20_01867,101.SEH.1994.BELUGA.ADN_20_02630.S_20_01867.dl.n_s.bam,0.399536,0.318064,0.2824,3
S_20_02340,103.SEH.2000.BELUGA.ADN_20_04477.S_20_02340.dl.n_s.bam,0.388015,0.367947,0.244038,3
S_20_03105,90.SEH.1997.BELUGA.ADN_20_03225.S_20_03105.dl.n_s.bam,0.385255,0.304591,0.310155,3
S_20_03418,98.SEH.2016.BELUGA.ADN_20_02489.S_20_03418.dl.n_s.bam,0.36576,0.35551,0.27873,3
S_20_03419,99.SEH.2016.BELUGA.ADN_20_03865.S_20_03419.dl.n_s.bam,1.00E-05,0.524291,0.475699,3
S_20_03421,95.SEH.2016.BELUGA.ADN_20_02490.S_20_03421.dl.n_s.bam,1.00E-05,0.526114,0.473876,3
S_20_03526,96.SEH.2016.BELUGA.ADN_20_03197.S_20_03526.dl.n_s.bam,0.391683,0.316923,0.291394,3
S_20_01743,279.SHS.2020.BELUGA.ADN_20_04591.S_20_01743.dl.n_s.bam,0.442775,0.358736,0.198488,3
S_20_01750,250.SHS.2019.BELUGA.ADN_20_04597.S_20_01750.dl.n_s.bam,1.00E-05,0.99998,1.00E-05,3
S_20_01935,240.SHS.1999.BELUGA.ADN_20_01892.S_20_01935.dl.n_s.bam,0.508892,0.491098,1.00E-05,3
S_20_02016,270.SHS.2013.BELUGA.ADN_20_04084.S_20_02016.dl.n_s.bam,0.382996,0.356826,0.260178,3
S_20_02328,280.SHS.2000.BELUGA.ADN_20_04465.S_20_02328.dl.n_s.bam,1.00E-05,0.99998,1.00E-05,3
S_20_02329,261.SHS.2000.BELUGA.ADN_20_04466.S_20_02329.dl.n_s.bam,1.00E-05,0.99998,1.00E-05,3
S_20_02537,241.SHS.2004.BELUGA.ADN_20_04338.S_20_02537.dl.n_s.bam,0.500957,0.391136,0.107907,3
S_20_02539,242.SHS.2004.BELUGA.ADN_20_04340.S_20_02539.dl.n_s.bam,0.571625,0.418435,0.00994,3
S_20_02925,275.SHS.2018.BELUGA.ADN_20_03885.S_20_02925.dl.n_s.bam,0.381151,0.245345,0.373505,3
S_20_02927,264.SHS.2018.BELUGA.ADN_20_03983.S_20_02927.dl.n_s.bam,0.582573,0.166021,0.251406,3
S_20_02952,256.SHS.2018.BELUGA.ADN_20_04008.S_20_02952.dl.n_s.bam,0.476661,0.270843,0.252496,3
S_20_03438,253.SHS.1995.BELUGA.ADN_20_05083.S_20_03438.dl.n_s.bam,1.00E-05,0.664736,0.335254,3
S_20_03439,285.SHS.1995.BELUGA.ADN_20_05084.S_20_03439.dl.n_s.bam,0.352769,0.46453,0.182701,3
S_20_03440,252.SHS.1995.BELUGA.ADN_20_05085.S_20_03440.dl.n_s.bam,0.299029,0.524758,0.176213,3
S_20_01781,351.SLE.2009.BELUGA.ADN_20_04491.S_20_01781.dl.n_s.bam,0.394798,0.411731,0.193471,3
S_20_00770,74.SWH.2003.BELUGA.ADN_20_01128.S_20_00770.dl.n_s.bam,0.426785,0.378737,0.194478,3
S_20_01178,287.UNG.2019.BELUGA.ADN_20_02304.S_20_01178.dl.n_s.bam,0.468096,0.49512,0.036784,3
S_20_01179,288.UNG.2019.BELUGA.ADN_20_02305.S_20_01179.dl.n_s.bam,0.387722,0.328208,0.28407,3
S_20_01180,286.UNG.2019.BELUGA.ADN_20_02306.S_20_01180.dl.n_s.bam,0.522263,0.477727,1.00E-05,3
S_20_00807,57.JAM.2002.BELUGA.ADN_20_01029.S_20_00807.dl.n_s.bam,0.99998,1.00E-05,1.00E-05,3
S_20_00808,58.JAM.2002.BELUGA.ADN_20_01030.S_20_00808.dl.n_s.bam,0.394641,0.295013,0.310346,3
S_20_00809,60.JAM.2002.BELUGA.ADN_20_01031.S_20_00809.dl.n_s.bam,0.99998,1.00E-05,1.00E-05,3
S_20_00810,59.JAM.2002.BELUGA.ADN_20_01032.S_20_00810.dl.n_s.bam,0.438936,0.25354,0.307524,3
S_20_01019,220.NEH.2003.BELUGA.ADN_20_01427.S_20_01019.dl.n_s.bam,0.538062,0.35543,0.106507,3
S_20_00944,195.NHB.1996.BELUGA.ADN_20_01523.S_20_00944.dl.n_s.bam,0.679612,1.00E-05,0.320378,3
S_20_00948,196.NHB.1996.BELUGA.ADN_20_01527.S_20_00948.dl.n_s.bam,0.650033,1.00E-05,0.349957,3
S_20_01278,225.NHS.1993.BELUGA.ADN_20_04674.S_20_01278.dl.n_s.bam,0.488968,0.391522,0.11951,3
S_20_01346,238.NHS.2002.BELUGA.ADN_20_04793.S_20_01346.dl.n_s.bam,0.43983,0.469893,0.090278,3
S_20_01350,236.NHS.2001.BELUGA.ADN_20_04781.S_20_01350.dl.n_s.bam,0.318306,0.393329,0.288365,3
S_20_01355,237.NHS.2001.BELUGA.ADN_20_04786.S_20_01355.dl.n_s.bam,0.542754,0.262651,0.194596,3
S_20_01357,229.NHS.2001.BELUGA.ADN_20_04788.S_20_01357.dl.n_s.bam,0.427448,0.471354,0.101197,3
S_20_01482,224.NHS.1991.BELUGA.ADN_20_04945.S_20_01482.dl.n_s.bam,0.427898,0.523668,0.048435,3
S_20_01486,227.NHS.1994.BELUGA.ADN_20_04952.S_20_01486.dl.n_s.bam,0.473194,0.526796,1.00E-05,3
S_20_01487,232.NHS.1994.BELUGA.ADN_20_04953.S_20_01487.dl.n_s.bam,1.00E-05,0.99998,1.00E-05,3
S_20_01489,226.NHS.1994.BELUGA.ADN_20_04956.S_20_01489.dl.n_s.bam,0.514181,0.398173,0.087646,3
S_20_01494,233.NHS.1994.BELUGA.ADN_20_04961.S_20_01494.dl.n_s.bam,0.363289,0.405793,0.230918,3
S_20_01507,228.NHS.1996.BELUGA.ADN_20_04977.S_20_01507.dl.n_s.bam,0.541865,0.458125,1.00E-05,3
S_20_03503,239.NHS.1996.BELUGA.ADN_20_05981.S_20_03503.dl.n_s.bam,0.46458,0.422344,0.113076,3
S_20_00830,41.NWH.1999.BELUGA.ADN_20_02055.S_20_00830.dl.n_s.bam,0.418808,0.318057,0.263136,3
S_20_01078,42.NWH.1999.BELUGA.ADN_20_01304.S_20_01078.dl.n_s.bam,0.99998,1.00E-05,1.00E-05,3
S_20_01079,43.NWH.1999.BELUGA.ADN_20_01305.S_20_01079.dl.n_s.bam,0.99998,1.00E-05,1.00E-05,3
S_20_04111,10.REB.1997.BELUGA.ADN_20_05512.S_20_04111.dl.n_s.bam,0.405892,0.233893,0.360215,3
S_20_04130,12.REB.2015.BELUGA.ADN_20_05531.S_20_04130.dl.n_s.bam,0.588076,0.113976,0.297948,3
S_20_03555,131.SAN.1996.BELUGA.ADN_20_05224.S_20_03555.dl.n_s.bam,0.410024,0.38013,0.209846,3
S_20_03731,118.SAN.2010.BELUGA.ADN_20_05165.S_20_03731.dl.n_s.bam,1.00E-05,1.00E-05,0.99998,3
S_20_04048,188.SAN.2017.BELUGA.ADN_20_05449.S_20_04048.dl.n_s.bam,1.00E-05,1.00E-05,0.99998,3
S_20_04063,123.SAN.2019.BELUGA.ADN_20_05464.S_20_04063.dl.n_s.bam,1.00E-05,1.00E-05,0.99998,3
S_20_01152,80.SEH.2019.BELUGA.ADN_20_04598.S_20_01152.dl.n_s.bam,0.347581,0.384743,0.267675,3
S_20_01174,82.SEH.2020.BELUGA.ADN_20_04577.S_20_01174.dl.n_s.bam,0.271096,0.070638,0.658266,3
S_20_01727,78.SEH.2019.BELUGA.ADN_20_04583.S_20_01727.dl.n_s.bam,0.325332,0.313128,0.36154,3
S_20_01744,84.SEH.2020.BELUGA.ADN_20_04578.S_20_01744.dl.n_s.bam,0.304093,0.103511,0.592396,3
S_20_01160,257.SHS.2019.BELUGA.ADN_20_04609.S_20_01160.dl.n_s.bam,0.317303,0.453742,0.228955,3
S_20_01162,258.SHS.2019.BELUGA.ADN_20_04558.S_20_01162.dl.n_s.bam,0.321597,0.365234,0.313169,3
S_20_01165,259.SHS.2019.BELUGA.ADN_20_04604.S_20_01165.dl.n_s.bam,0.31754,0.384447,0.298013,3
S_20_01169,278.SHS.2020.BELUGA.ADN_20_04603.S_20_01169.dl.n_s.bam,0.342248,0.418231,0.239521,3
S_20_01883,260.SHS.1994.BELUGA.ADN_20_02823.S_20_01883.dl.n_s.bam,0.35721,0.420197,0.222592,3
S_20_02024,244.SHS.2013.BELUGA.ADN_20_04097.S_20_02024.dl.n_s.bam,0.568663,0.072822,0.358515,3
S_20_02138,271.SHS.2002.BELUGA.ADN_20_04117.S_20_02138.dl.n_s.bam,0.409973,0.345987,0.24404,3
S_20_03385,249.SHS.2018.BELUGA.ADN_20_05060.S_20_03385.dl.n_s.bam,0.534732,0.381447,0.08382,3
S_20_03396,248.SHS.2018.BELUGA.ADN_20_05071.S_20_03396.dl.n_s.bam,0.433136,0.100314,0.46655,3
S_20_03551,274.SHS.2017.BELUGA.ADN_20_04518.S_20_03551.dl.n_s.bam,0.383647,0.404223,0.21213,3
S_20_01574,141.SAN.2021.BELUGA.ADN_20_05902.S_20_01574.dl.n_s.bam,0.427669,0.457584,0.114747,3
S_20_01612,184.SAN.2021.BELUGA.ADN_20_05033.S_20_01612.dl.n_s.bam,0.281826,0.135092,0.583082,3
S_20_03736,159.SAN.2011.BELUGA.ADN_20_05988.S_20_03736.dl.n_s.bam,0.268584,0.050485,0.680931,3
S_20_00782,314.CBS.2005.BELUGA.ADN_20_00969.S_20_00782.dl.n_s.bam,0.444482,0.479744,0.075775,3
