SampleID,ind,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,Region,Harvest Region,Season
S_20_03103,91.SEH.1997.BELUGA.ADN_20_03223.S_20_03103.dl.n_s.bam,-0.0138514,-0.021302,0.0132889,0.0164174,-0.020147,-0.00827065,-0.00308091,0.025506,0.0075675,-0.0660106,-0.00160613,-0.0132668,0.0259105,0.0133444,0.0366218,0.00628938,0.066539,0.0364027,-0.0459182,-0.0465993,South-East Hudson Bay,SEH,Unknown
S_20_03104,92.SEH.1997.BELUGA.ADN_20_03224.S_20_03104.dl.n_s.bam,-0.00987221,-0.02055,0.0128665,0.00752253,-0.0179535,0.0299326,-0.00163331,0.00712582,0.0291306,0.012194,0.00387202,-0.00957858,-0.00733823,0.0187133,0.00601766,0.0204151,0.0292335,0.0406105,-0.0473934,-0.0132489,South-East Hudson Bay,SEH,Unknown
S_20_00905,245.SHS.2003.BELUGA.ADN_20_02725.S_20_00905.dl.n_s.bam,-0.00331346,-0.0212997,0.0211081,0.00257109,-0.0347069,0.063685,-0.0132288,-0.0380466,0.0432792,0.0718796,-0.0133826,-0.02215,-0.0292382,-0.00785588,-0.0369347,-0.0184107,0.00141184,-0.00903466,-0.00582886,-0.0100583,South Hudson Strait,SHS,Spring
S_20_01140,281.SHS.2019.BELUGA.ADN_20_02324.S_20_01140.dl.n_s.bam,-0.00883081,-0.0223372,0.0327205,-0.01363,-0.022241,0.00125557,-0.0198028,-0.0402893,-0.0256352,0.0344047,-0.0140202,-0.0105505,-0.0162585,0.00316909,-0.00436887,-0.00251932,0.00655333,0.0261709,-0.00294918,0.00808926,South Hudson Strait,SHS,Spring
S_20_01149,276.SHS.2019.BELUGA.ADN_20_04606.S_20_01149.dl.n_s.bam,-0.00816612,-0.0230546,0.00514023,-0.00275438,-0.0292513,0.0425986,-0.0140946,-0.0160387,0.0282819,0.0471611,-0.00774589,-0.031245,-0.0182025,-0.00360416,0.000857051,0.0194293,-0.0065684,0.00575801,-0.0168495,-0.00185916,South Hudson Strait,SHS,Spring
S_20_01181,266.SHS.2019.BELUGA.ADN_20_02312.S_20_01181.dl.n_s.bam,-0.0196077,-0.0251721,0.0192046,0.0170793,-0.0174858,-0.0298632,0.0376854,0.141071,-0.0082178,-0.190874,0.0203278,-0.000402243,0.055135,0.00727926,0.0554552,0.00450833,0.0159785,-0.000333246,-0.0012233,0.0503084,South Hudson Strait,SHS,Spring
S_20_01182,265.SHS.2019.BELUGA.ADN_20_02318.S_20_01182.dl.n_s.bam,-0.0030242,-0.0220905,0.0189129,0.00148246,-0.0227811,0.0445825,-0.00853568,-0.0358488,0.0257029,0.0658136,-0.0172294,-0.0313725,-0.0187953,0.011301,-0.00802744,0.0104638,0.0112595,0.00924798,-0.0233182,-0.0097663,South Hudson Strait,SHS,Spring
S_20_01644,269.SHS.2019.BELUGA.ADN_20_02315.S_20_01644.dl.n_s.bam,-0.0125728,-0.0257355,0.0257053,-0.000912335,-0.0115474,0.0126332,0.0018815,0.0535534,0.0176979,-0.0397929,0.0236371,-0.0148959,0.0076624,0.00114872,0.00119239,-0.0163396,0.0202988,0.0154591,-0.0305537,0.0139365,South Hudson Strait,SHS,Spring
S_20_01680,267.SHS.2019.BELUGA.ADN_20_02310.S_20_01680.dl.n_s.bam,-0.0076491,-0.0229367,0.0113761,0.000987571,-0.020564,0.0334288,-0.00358847,0.00658549,0.0344869,0.0218073,-0.0144819,-0.0305946,-0.0136465,0.0107778,0.0055386,0.0219897,0.00724195,-0.0017646,-0.00441503,0.0021678,South Hudson Strait,SHS,Spring
S_20_01699,268.SHS.2019.BELUGA.ADN_20_02311.S_20_01699.dl.n_s.bam,-0.00589696,-0.0223251,0.0226457,0.000730716,-0.0182736,0.0287865,-0.00397742,-0.0017786,0.016957,0.00810404,-0.0112545,-0.0190726,-0.00699386,-0.000317481,0.0106427,0.00194058,0.0135258,0.00476413,-0.0366101,0.0140677,South Hudson Strait,SHS,Spring
